layer,unit,description,similarity
avgpool,285,sediment,0.29730225
avgpool,286,jacuzzi,0.45291138
avgpool,287,residential,0.36380005
avgpool,288,morocco,0.33059692
avgpool,289,cars,0.20599365
avgpool,290,courtyard,0.5266113
avgpool,291,sofas,0.46203613
avgpool,292,plants,0.44378662
avgpool,293,musicians,0.15325928
avgpool,294,fence,0.1270752
avgpool,295,crochet,0.27954102
avgpool,296,trains,0.30352783
avgpool,297,infrastructure,0.15338135
avgpool,298,street,0.22543335
avgpool,299,chef,0.61221313
avgpool,300,shoes,0.4008484
avgpool,301,screws,0.16870117
avgpool,302,performing,0.22634888
avgpool,303,door,0.20300293
avgpool,304,label,0.29605103
avgpool,305,aquarium,0.5039673
avgpool,306,shoes,0.5469055
avgpool,307,neonatal,0.14932251
avgpool,308,porch,0.32595825
avgpool,309,stripe,0.26239014
avgpool,310,female,0.3232727
avgpool,311,warehousing,0.21838379
avgpool,312,hay,0.36212158
avgpool,313,cyclone,0.20678711
avgpool,314,dotted,0.5693054
avgpool,315,buildings,0.33529663
avgpool,316,trekking,0.29119873
avgpool,317,courtyard,0.3546753
avgpool,318,portable,0.19390869
avgpool,319,street,0.20666504
avgpool,320,compost,0.33746338
avgpool,321,canal,0.15679932
avgpool,322,juvenile,0.2619934
avgpool,323,branches,0.2550354
avgpool,324,workstations,0.4934082
avgpool,325,snorkeling,0.37576294
avgpool,326,textile,0.4378662
avgpool,327,tournament,0.17312622
avgpool,328,cafeteria,0.29971313
avgpool,329,sahara,0.17474365
avgpool,330,trekking,0.30126953
avgpool,331,textile,0.24813843
avgpool,332,snow,0.4432068
avgpool,333,tables,0.42385864
avgpool,334,fountains,0.24087524
avgpool,335,blocks,0.13653564
avgpool,336,mating,0.40374756
avgpool,337,tub,0.19369507
avgpool,338,dog,0.32061768
avgpool,339,plaque,0.32833862
avgpool,340,bridge,0.50253296
avgpool,341,collier,0.22006226
avgpool,342,hoodia,0.18603516
avgpool,343,mating,0.34576416
avgpool,344,mating,0.26965332
avgpool,345,waterfall,0.22454834
avgpool,346,stationery,0.1864624
avgpool,347,dinnerware,0.4350891
avgpool,348,mozambique,0.1958313
avgpool,349,workers,0.28878784
avgpool,350,furniture,0.40930176
avgpool,351,shoes,0.27624512
avgpool,352,lagoon,0.1899414
avgpool,353,billiards,0.44024658
avgpool,354,limestone,0.3302307
avgpool,355,aviation,0.48886108
avgpool,356,classroom,0.32077026
avgpool,357,dispenser,0.15127563
avgpool,358,garment,0.13122559
avgpool,359,courtyard,0.31149292
avgpool,360,frontgate,0.20996094
avgpool,361,courtyard,0.36172485
avgpool,362,crypt,0.15692139
avgpool,363,ruins,0.4427185
avgpool,364,steps,0.46923828
avgpool,365,tableware,0.21673584
avgpool,366,flowers,0.40875244
avgpool,367,firefighters,0.41653442
avgpool,368,chefs,0.26586914
avgpool,369,vaults,0.37442017
avgpool,370,stripes,0.23019409
avgpool,371,mosque,0.58078
avgpool,372,birding,0.35290527
avgpool,373,jacuzzi,0.2749939
avgpool,374,indonesia,0.3126526
avgpool,375,airport,0.36663818
avgpool,376,pharmacist,0.38464355
avgpool,377,closet,0.58410645
avgpool,378,fountains,0.526062
avgpool,379,carrier,0.4739685
avgpool,380,wildlife,0.26605225
avgpool,381,kiosk,0.25280762
avgpool,382,deskjet,0.16497803
avgpool,383,bedrooms,0.1251831
avgpool,384,telescope,0.1487732
avgpool,385,attic,0.25393677
avgpool,386,geology,0.33932495
avgpool,387,aviation,0.1769104
avgpool,388,columns,0.30648804
avgpool,389,dialysis,0.37554932
avgpool,390,paving,0.2861023
avgpool,391,gardens,0.2593994
avgpool,392,cabbage,0.3829651
avgpool,393,desks,0.4161682
avgpool,394,kitchen,0.56903076
avgpool,395,ladder,0.10043335
avgpool,396,volleyball,0.51934814
avgpool,397,dotted,0.2915039
avgpool,398,furnished,0.42697144
avgpool,399,msrp,0.13580322
avgpool,400,chairs,0.33218384
avgpool,401,tent,0.645874
avgpool,402,seminar,0.17849731
avgpool,403,carnival,0.3166504
avgpool,404,lettuce,0.2687378
avgpool,405,collier,0.53356934
avgpool,406,baseball,0.21350098
avgpool,407,bookstore,0.469635
avgpool,408,street,0.32110596
avgpool,409,cottages,0.28128052
avgpool,410,silicone,0.13641357
avgpool,411,dispenser,0.18579102
avgpool,412,glassware,0.16369629
avgpool,413,curtain,0.21878052
avgpool,414,fruits,0.47198486
avgpool,415,lobby,0.4442749
avgpool,416,bottle,0.16705322
avgpool,417,sailing,0.49935913
avgpool,418,bridges,0.23330688
avgpool,419,bathroom,0.2569275
avgpool,420,paranormal,0.1239624
avgpool,421,trains,0.35144043
avgpool,422,ruins,0.17416382
avgpool,423,dog,0.20108032
avgpool,424,tent,0.6052246
avgpool,425,coral,0.28433228
avgpool,426,volleyball,0.29013062
avgpool,427,rides,0.3664856
avgpool,428,spiral,0.19073486
avgpool,429,aircraft,0.34332275
avgpool,430,workshop,0.18515015
avgpool,431,corridor,0.6814575
avgpool,432,columns,0.4363098
avgpool,433,textile,0.34814453
avgpool,434,wetland,0.44747925
avgpool,435,vehicle,0.1671753
avgpool,436,appliances,0.4305725
avgpool,437,crane,0.328125
avgpool,438,textile,0.36087036
avgpool,439,fibers,0.206604
avgpool,440,buses,0.5853882
avgpool,441,snow,0.19281006
