layer,unit,description,similarity
heads,479,rims,0.5118103
heads,480,atm,0.5953064
heads,481,cassettes,0.8316345
heads,482,walkman,0.6491394
heads,483,castles,0.68588257
heads,484,sailing,0.6194458
heads,485,technics,0.46264648
heads,486,cello,0.6642456
heads,487,sonyericsson,0.62423706
heads,488,chain,0.46640015
heads,489,fence,0.53375244
heads,490,armour,0.32113647
heads,491,saws,0.50457764
heads,492,dresser,0.43637085
heads,493,dresser,0.80911255
heads,494,bell,0.50405884
heads,495,cabinets,0.5802307
heads,496,stockings,0.5289917
heads,497,chapel,0.57714844
heads,498,cinemas,0.520874
heads,499,knives,0.41958618
heads,500,caves,0.58325195
heads,501,hooded,0.33468628
heads,502,footwear,0.45285034
heads,503,glassware,0.37667847
heads,504,mugs,0.55358887
heads,505,kettle,0.49893188
heads,506,spiral,0.4682312
heads,507,unlocking,0.48898315
heads,508,keyboard,0.6676941
heads,509,sweets,0.4396057
heads,510,containers,0.51501465
heads,511,convertible,0.6131592
heads,512,scissors,0.3788452
heads,513,trumpet,0.5765381
heads,514,boots,0.4840393
heads,515,cowboy,0.42181396
heads,516,nursery,0.4993286
heads,517,crane,0.5776062
heads,518,helmet,0.61279297
heads,519,crate,0.41397095
heads,520,nursery,0.8597717
heads,521,cookware,0.46411133
heads,522,putting,0.41436768
heads,523,wheelchair,0.24551392
heads,524,armour,0.60336304
heads,525,dams,0.56466675
heads,526,bureau,0.68426514
heads,527,workstations,0.5887451
heads,528,telephones,0.6195679
heads,529,diapers,0.4444275
heads,530,clock,0.4610901
heads,531,casio,0.6367798
heads,532,table,0.52819824
heads,533,crochet,0.7379761
heads,534,dishwasher,0.6786194
heads,535,brakes,0.43563843
heads,536,harbour,0.69104004
heads,537,huskies,0.55630493
heads,538,dome,0.56539917
heads,539,carpets,0.330719
heads,540,offshore,0.45385742
heads,541,percussion,0.58465576
heads,542,percussion,0.53744507
heads,543,weights,0.52456665
heads,544,cookware,0.6064453
heads,545,fan,0.48565674
